film,year_film,year_ceremony,category,imdb_score_x,num_voted_users_x,budget_x,language_x,country_x,gross_x,genres_x,num_user_for_reviews_x,duration_x,director_name
Talk to Her,2002,2003,WRITING (Original Screenplay),7.9,116601,4500000.0,Spanish,Spain,92039206,Drama|Mystery|Romance,277,112,Dominique Deruddere
The Secret in Their Eyes,2009,2010,FOREIGN LANGUAGE FILM,8.2,131831,2000000.0,Spanish,Argentina,20167424,Drama|Mystery|Thriller,231,129,Juan José Campanella
Chicago,2002,2003,ACTRESS IN A SUPPORTING ROLE,7.2,172080,45000000.0,English,USA,170684505,Comedy|Crime|Musical,1017,113,Rob Marshall
Chicago,2002,2003,ART DIRECTION,7.2,172080,45000000.0,English,USA,170684505,Comedy|Crime|Musical,1017,113,Rob Marshall
Chicago,2002,2003,BEST PICTURE,7.2,172080,45000000.0,English,USA,170684505,Comedy|Crime|Musical,1017,113,Rob Marshall
Chicago,2002,2003,COSTUME DESIGN,7.2,172080,45000000.0,English,USA,170684505,Comedy|Crime|Musical,1017,113,Rob Marshall
Chicago,2002,2003,FILM EDITING,7.2,172080,45000000.0,English,USA,170684505,Comedy|Crime|Musical,1017,113,Rob Marshall
Chicago,2002,2003,SOUND,7.2,172080,45000000.0,English,USA,170684505,Comedy|Crime|Musical,1017,113,Rob Marshall
The Barbarian Invasions,2003,2004,FOREIGN LANGUAGE FILM,7.7,24921,6000000.0,French,Canada,3432342,Comedy|Crime|Drama|Mystery|Romance,166,112,Denys Arcand
Vicky Cristina Barcelona,2008,2009,ACTRESS IN A SUPPORTING ROLE,7.2,198111,15500000.0,English,Spain,23213577,Drama|Romance,365,96,Woody Allen
The Constant Gardener,2005,2006,ACTRESS IN A SUPPORTING ROLE,7.5,111351,15000000.0,English,UK,33565375,Drama|Mystery|Romance|Thriller,568,129,Fernando Meirelles
The Blind Side,2009,2010,ACTRESS IN A LEADING ROLE,7.7,223127,29000000.0,English,USA,255950375,Biography|Drama|Sport,420,129,John Lee Hancock
Tsotsi,2005,2006,FOREIGN LANGUAGE FILM,7.3,25063,3000000.0,Zulu,UK,2912363,Crime|Drama,177,94,Gavin Hood
Capote,2005,2006,ACTOR IN A LEADING ROLE,7.4,100571,7000000.0,English,Canada,28747570,Biography|Crime|Drama,416,110,Bennett Miller
Sideways,2004,2005,WRITING (Adapted Screenplay),7.5,149966,12000000.0,English,USA,71502303,Adventure|Comedy|Drama|Romance,835,126,Alexander Payne
The Golden Compass,2007,2008,VISUAL EFFECTS,6.1,149019,180000000.0,English,USA,70083519,Adventure|Family|Fantasy,666,113,Chris Weitz
King Kong,2005,2006,SOUND EDITING,7.2,316018,207000000.0,English,New Zealand,218051260,Action|Adventure|Drama|Romance,2618,201,Peter Jackson
