Movie,URL,Director,Writer,Rating,Genre,Production Country/Region,Release Year,Cast,Release Date,Duration,Language,Ratings,Plot Summary,Awards,Cast and Crew
如果‧爱,https://movie.douban.com/subject/1418070/,陈可辛/赵良骏,杜国威/林爱华/阮世生/方晴,7.7, 剧情 / 爱情 / 歌舞,中国大陆/中国香港/马来西亚,2006,金城武/周迅/张学友/池珍熙/曾志伟/吴君如/薛之谦/尚铁龙/陈铜民,2005-12-01(中国大陆)/2005-09-10(威尼斯电影节),108,汉语普通话/粤语/英语,246651,想演戏的孙纳（周迅饰）与想导戏的林见东（金城武饰）初遇见时，两人都正处于生活与事业的低谷，在相互鼓励和扶携中，他们渐渐有了共同的可以看见希望的未来，然而孙纳更想把现在的可能抓到手，狠心与林见东分了手，跟了可以给她戏的导演聂文（张学友饰），成为人人艳羡的大明星。/　　天意弄人，十年后孙纳与也做了演员的林见东因为一部合拍戏又重遇。虽努力说服自己忘记过去，却欺骗不了自己的心，孙纳陷入两难中。而更戏剧的是，孙纳、林见东和聂文要同演一出剧情与他们之间情恨纠葛惊人相似的戏。,第13届北京大学生电影节(2006) 最佳观赏效果奖最受大学生欢迎导演最受大学生欢迎女演员 陈可辛周迅,"陈可辛PeterChan 导演Director
赵良骏SamsonChiu 导演Director
金城武TakeshiKaneshiro 演员Actor(饰林见东)
周迅XunZhou 演员Actress(饰孙纳)
张学友JackyCheung 演员Actor(饰聂文)
池珍熙Jin-heeJi 演员Actor(饰Monty)
曾志伟EricTsang 演员Actor(饰「毋忘我」监制)
吴君如SandraNg 演员Actress(饰林见东经理人)
薛之谦ZhiqianXue 演员Actor(饰「毋忘我」员工)
尚铁龙TielongShang 演员Actor
陈铜民TongminChen 演员Actor(饰酒店接待员)
姜天阳Eko 演员Actor
吕晓霖XiaolinLü 演员Actress(饰「毋忘我」员工)
杨梓墨ZimoYang 演员Actress(饰舞蹈演员)
张磊Lei-Zhang 演员Actor(饰现场制片)
杜国威RaymondTo 编剧Writer
林爱华OiWahLam 编剧Writer
阮世生JamesYuen 编剧Writer
方晴Ching'Jessica'Fong 编剧Writer
任仲伦ZhonglunRen 
许月珍JojoHuiYuet-chun 策划AssociateProducer
陈可辛PeterChan 
覃宏HongQin 
金培达PeterKam 
高世章LeonKo 音乐Music
鲍德熹PeterPau 
蔡崇晖JohnnyChoi 
何宝荣PoWingHo 跟机DollyGrip
李栋全WendersLi 
黄炳耀PaterWong 美术设计ArtDirector
董玮WaiTung 
鞠坤KunJu 替身StuntDouble
曾景祥KinsonTsang 
深泽宽HiroshiFukazawa 宣传"
头文字D,https://movie.douban.com/subject/1329562/,刘伟强/麦兆辉,庄文强,7.8, 剧情 / 动作,中国香港/日本,2006,周杰伦/陈冠希/黄秋生/杜汶泽/铃木杏/余文乐/钟镇涛/陈小春/津村和幸/阿部力/田中千绘/刘畊宏,2005-06-23(中国大陆/中国香港)/2005-06-19(北京首映),109,粤语/英语,407075,每天清晨都有一辆AE86在秋名山上漂移，而且速度快得惊人，这辆AE86属于藤原豆腐店。藤原拓海（周杰伦饰）每天清晨都要帮父亲藤原文太（黄秋生饰）把自家店里的豆腐送到秋名山上的旅店，但这并不是拓海想做的一件事。拓海还会在阿木（杜文泽饰）家开的加油站做兼职。中里毅（余文乐饰）向阿木的车队挑战，当中里毅在秋名山练习的时候，竟然被一辆AE86轻易爬过头，中里毅决定打听这辆AE86的消息，要跟他比赛一番。,,"刘伟强AndrewLau 导演Director
麦兆辉AlanMak 导演Director
拉尔夫·里埃克曼RalphRieckermann 导演Director
周杰伦JayChou 演员Actor
陈冠希EdisonChen 演员Actor
黄秋生AnthonyWongChau-Sang 演员Actor
铃木杏AnneSuzuki 演员Actress
余文乐ShawnYue 演员Actor/Actress
钟镇涛KennyBee 演员Actor
陈小春JordanChan 演员Actor
津村和幸TsumuraKazuyuki 演员Actor
阿部力TsuyoshiAbe 演员Actor
田中千绘ChieTanaka 演员Actress
刘畊宏WillLiu 演员Actor
吉泽明步AkihoYoshizawa 演员Actress
山口胜平KappeiYamaguchi 配音Voice
小西真奈美ManamiKonishi 演员Actress
胁知弘TomohiroWaki 演员Actor
夏治世ZhishiXia 配音Voice
KazuoYashiroKazuoYashiro 演员Actor/Actress
平野贵大TakahiroHirano 演员Actor
庄文强FelixChong 编剧Writer
重野秀一ShigenoShuuichi 编剧Writer
刘伟强AndrewLau 
庄澄JohnChong 
林炳坤BingkunLin 策划AssociateProducer
陈光荣KwongWingChan 
刘伟强AndrewLau 
黎耀辉Yiu-FaiLai 
伍文拯Man-ChingNg 
黄海HoiWong 剪辑Editor
张世宏SilverCheung 美术设计ArtDirector
文润铃Yun-LingMan 
黄国雄SamuelWong 发型师HairArtist
李子俊JonathanLi 
黄宏达VictorWong 
黄宏显EddyWong 
朱继生JoeChu 
何志辉BrianHo 
张仲华BryanCheung 
原宪一KenichiHara 原画师KeyAnimator
黄斌RonaldWong 
曾景祥KinsonTsang "
早熟,https://movie.douban.com/subject/1329962/,尔冬升,尔冬升/秦天南,6.7, 剧情 / 爱情,中国香港,2006,房祖名/薛凯琪/曾志伟/毛舜筠/黄秋生/余安安/钱嘉乐/曹永廉/许绍雄/林雪/姜大卫,2005/4/28,107,粤语,67004,出生于草根家庭的家富（房祖名饰）父亲（曾志伟饰）是小巴司机，母亲（毛舜筠饰）是一个酒楼接待员。虽然出身寒微，却享受了家庭温暖。他跟同学去了一所女子名校，无意间看到了若男（薛凯琪饰），更假扮名校学生到该女校联谊。若男的父亲（黄秋生饰）是一个律师，母亲（余安安饰）是公益积极分子。一直对若男管教严厉，也很少留在女儿身边。当若男遇到了好动的家富后，便很快被他吸引了。在若男18生日当晚，他们两人到郊外露营，偷吃了禁果。/　　若男得知自己怀孕后，便与家富商量要打掉孩子，眼看着那些恐怖的工具，与家人大吵一架后，决定躲到好友的祖屋直到孩子出生。/　　独自生活后家富才发现供养一个家庭的不容易，两人开始有了分歧。家富父母好不容易找到了两人，可是若男父亲要状告家富强奸未成年少女，看着不足月出生的外孙，他又会否手下留情呢？,第11届中国电影华表奖(2005) 优秀合拍片奖 ,"尔冬升Tung-shingYee 导演Director
房祖名JayceeChan 演员Actor
薛凯琪FionaSit 演员Actress
曾志伟EricTsang 演员Actor
毛舜筠TeresaMo 演员Actress
黄秋生AnthonyWongChau-Sang 演员Actor
余安安On-onYu 演员Actress
钱嘉乐KarLokChin 演员Actor
曹永廉WingLimCho 演员Actor
许绍雄Siu-HungHui 演员Actor
林雪SuetLam 演员Actor
姜大卫DavidChiang 演员Actor
张磊LeiZhang 配音Voice
张耀辉Yiu-FaiCheung 演员Actor
陆剑明JamieLuk 演员Actor
方平HenryFong 演员Actor
李剑荣Kim-WingLee 演员Actor
尔冬升Tung-shingYee 编剧Writer
黄建新JianxinHuang 
方平HenryFong 
林炳坤BingkunLin 策划AssociateProducer
姜国民Kwok-ManKeung 
蔡曜力MaxChoi 
符晓薇LeanneFu "
如果·爱,https://movie.douban.com/subject/1418070/,陈可辛/赵良骏,杜国威/林爱华/阮世生/方晴,7.7, 剧情 / 爱情 / 歌舞,中国大陆/中国香港/马来西亚,2006,金城武/周迅/张学友/池珍熙/曾志伟/吴君如/薛之谦/尚铁龙/陈铜民,2005-12-01(中国大陆)/2005-09-10(威尼斯电影节),108,汉语普通话/粤语/英语,246651,想演戏的孙纳（周迅饰）与想导戏的林见东（金城武饰）初遇见时，两人都正处于生活与事业的低谷，在相互鼓励和扶携中，他们渐渐有了共同的可以看见希望的未来，然而孙纳更想把现在的可能抓到手，狠心与林见东分了手，跟了可以给她戏的导演聂文（张学友饰），成为人人艳羡的大明星。/　　天意弄人，十年后孙纳与也做了演员的林见东因为一部合拍戏又重遇。虽努力说服自己忘记过去，却欺骗不了自己的心，孙纳陷入两难中。而更戏剧的是，孙纳、林见东和聂文要同演一出剧情与他们之间情恨纠葛惊人相似的戏。,第13届北京大学生电影节(2006) 最佳观赏效果奖最受大学生欢迎导演最受大学生欢迎女演员 陈可辛周迅,"陈可辛PeterChan 导演Director
赵良骏SamsonChiu 导演Director
金城武TakeshiKaneshiro 演员Actor(饰林见东)
周迅XunZhou 演员Actress(饰孙纳)
张学友JackyCheung 演员Actor(饰聂文)
池珍熙Jin-heeJi 演员Actor(饰Monty)
曾志伟EricTsang 演员Actor(饰「毋忘我」监制)
吴君如SandraNg 演员Actress(饰林见东经理人)
薛之谦ZhiqianXue 演员Actor(饰「毋忘我」员工)
尚铁龙TielongShang 演员Actor
陈铜民TongminChen 演员Actor(饰酒店接待员)
姜天阳Eko 演员Actor
吕晓霖XiaolinLü 演员Actress(饰「毋忘我」员工)
杨梓墨ZimoYang 演员Actress(饰舞蹈演员)
张磊Lei-Zhang 演员Actor(饰现场制片)
杜国威RaymondTo 编剧Writer
林爱华OiWahLam 编剧Writer
阮世生JamesYuen 编剧Writer
方晴Ching'Jessica'Fong 编剧Writer
任仲伦ZhonglunRen 
许月珍JojoHuiYuet-chun 策划AssociateProducer
陈可辛PeterChan 
覃宏HongQin 
金培达PeterKam 
高世章LeonKo 音乐Music
鲍德熹PeterPau 
蔡崇晖JohnnyChoi 
何宝荣PoWingHo 跟机DollyGrip
李栋全WendersLi 
黄炳耀PaterWong 美术设计ArtDirector
董玮WaiTung 
鞠坤KunJu 替身StuntDouble
曾景祥KinsonTsang 
深泽宽HiroshiFukazawa 宣传"
三岔口,https://movie.douban.com/subject/1310185/,陈木胜,岸西,6.6, 剧情 / 动作 / 犯罪,中国大陆/中国香港,2006,吴彦祖/郭富城/郑伊健/罗嘉良/李心洁/宁静/于荣光/阮民安/彭敬慈/林海峰/曾志伟/李灿森/林雪/梁俊一/赵雪妃,2005-04-28(中国香港),101,粤语,47287,城市中扑朔迷离的人物关系和事件始末。一洗黑钱罪犯被押送回港，职业杀手曲（吴彦祖饰）将其枪杀后逃逸，背后主谋是洗钱集团首领饶天颂（罗嘉良饰），但他的儿子也同时被其它神秘人物拐走。案情开始变得千头万绪。这个案件，交由了警察孙（郭富城饰）负责，孙一向倒霉，这次最令他意外的是，他竟然发现饶天颂的律师杜厚生（郑伊健饰）有一个叫Amy（李心洁饰）的妻子，像极了十年前失踪的女友。这一切，让他倾注大量心血在案件调查上。然而，对这桩案件感兴趣的，除了孙，还有杀手曲。他们各有心事，步步为营，在错综复杂的关系和事件中拉扯争斗。,第8届中国长春电影节(2006) 金鹿奖最佳男主角 郭富城,"陈木胜BennyChan 导演Director
吴彦祖DanielWu 演员Actor(饰曲)
郭富城AaronKwok 演员Actor(饰孙兆仁)
郑伊健EkinCheng 演员Actor/Actress(饰杜厚生)
罗嘉良GallenLaw 演员Actor(饰饶天颂)
李心洁AngelicaLee 演员Actress(饰素芳/Amy)
宁静JingNing 演员Actress(饰定)
于荣光RongguangYu 演员Actor
阮民安TommyYuen 演员Actor/Actress
彭敬慈SamuelPang 演员Actor
林海峰JanLamb 演员Actor
曾志伟EricTsang 演员Actor(饰UncleChoi)
李灿森SamLee 演员Actor(饰LeungTak)
林雪SuetLam 演员Actor
梁俊一AnsonLeung 演员Actor(饰Detector)
赵雪妃Suet-FeiChiu 演员Actress(饰winnie)
许冠英RickyHui 演员Actor
黄德斌Tak-bunWong 演员Actor
何华超TonyHo 演员Actor
李天翔EricLiTinCheung 演员Actor(饰孙兆仁同事(探员))
邱万城SamuelYau 演员Actor(饰週刊編輯)
利沙华CourtneyWu 演员Actor/Actress
黄伟亮JackWaiLeungWong 演员Actor
Neemisha 演员Actor/Actress
黄燕强WongYinKeung 演员Actor/Actress(饰詹保镖)
方志驹VernonFong 演员Actor(饰孫同事(探員))
周美成Mei-ShingChow 演员Actor
岸西IvyHo 编剧Writer
林小强AlvinLam 行政监制AdministrativeProducer
林小明DaneilLam 出品人Presenter
陈木胜BennyChan 制片人Producer
禇镇东AnthonyChue 
潘耀明AnthonyPun 
邱志伟ChiWaiYau 
张叔平WilliamChang 
邱伟明AlfredYau 美术设计ArtDirector
关莉娜Lee-naKwan 
卢海鹰LeoHoi-YingLo 
里奥·卢LeoLo 
李忠志ChungChiLi "
父子,https://movie.douban.com/subject/1727557/,谭家明,谭家明/田开良,6.9, 剧情 / 家庭,中国香港/马来西亚,2007,郭富城/杨采妮/吴澋滔/林熙蕾/秦海璐/许茹芸/徐天佑,2006-12-01(中国大陆)/2006-11-30(中国香港),120,粤语/汉语普通话,31084,阿宝（吴景滔饰）梦中坐在父亲的自行车后坐，一手拿着风车，一手紧紧地抱着，然而美梦破碎。落魄父亲周长胜（郭富城饰）有着烂赌恶习，母亲阿莲（杨采妮饰）为此无法忍受，决定出走后被抓回。为了挽救夫妻间已经破裂的感情，父亲一厢情愿地安排全家去坐邮轮度假，母亲趁机离家不归。/　　穷困潦倒之余，周长胜又遭到了高利贷追债，连番失意的他想抛下阿宝，但还没离开就被追债的人打断腿。父子二人踏上了逃亡之路，伤残的父亲没有赚钱能力，只能逼迫阿宝去借钱甚至偷东西。有一次，阿宝偷窃失手，怯懦的父亲无力挽救……。这对父子的再次相见将会如何？,第19届东京国际电影节(2006) 主竞赛单元最佳艺术贡献奖亚洲之风最佳亚洲电影 谭家明谭家明,"谭家明PatrickTam 导演Director
郭富城AaronKwok 演员Actor(饰周长胜)
杨采妮CharlieYeung 演员Actress(饰阿莲)
吴澋滔King-toNg 演员Actor(饰阿宝)
林熙蕾KellyLin 演员Actress(饰妓女)
秦海璐HailuQin 演员Actress(饰男孩的母亲)
许茹芸ValenHsu 演员Actress(饰邻居阿姨)
徐天佑TienYouChui 演员Actor
秦昊HaoQin 演员Actor(饰校巴司机)
林依轮AllenLin 演员Actor/Actress(饰男孩的父亲)
麦贵源KwaiYuenMak 演员Actor
田开良Kai-LeongTian 演员Actor/Actress
王艺璇Yi-xuanWang 演员Actress
谭家明PatrickTam 编剧Writer
田开良Kai-LeongTian 编剧Writer
曾志伟EricTsang 
邱瓈宽Li-kuangChiu 
于冬DongYu 
李屏宾MarkLeePingBing 
谭家明PatrickTam 
何剑雄CyrusHo 
杜叙中Hsu-ChungTu 
曾景祥KinsonTsang "
我要成名,https://movie.douban.com/subject/1864290/,刘国昌,阮世生/方晴/罗耀辉,6.9, 剧情 / 喜剧,中国大陆/中国香港,2007,刘青云/霍思燕/余安安/郑伊健/梁家辉/周励淇/薛凯琪/曾国祥/苏志威/陈嘉上/陈果/许鞍华/蔡一杰/蔡一智/方平,2006-09-01(中国香港),94,粤语/汉语普通话/英语,22841,潘家辉（刘青云饰）其实也走红过，他曾经是十几年前电影金像奖最佳新人奖得主。然而世事变幻，加上他性格锋利，在圈内的发展每况愈下。失意落魄之时，竟有新人吴晓菲（霍思燕饰）当他是无敌尊师，还拜师学艺。吴晓菲纵然受尽新人的委屈，演戏亦任劳任怨，感动得潘家辉终于收之为徒弟，成为其经纪人。/　　师徒日夕相对，感情渐厚。吴晓菲慢慢成长的演技，为她带来的第一部戏却是三级片，还要远赴日本。她的事业将走向何方，和潘家辉搁浅的感情又该怎么办。最后成名的是潘家辉，还是吴晓菲，是皆大欢喜，抑或是两败俱伤？,,"刘国昌LawrenceAhMon 导演Director
刘青云SeanLau 演员Actor
霍思燕SiyanHuo 演员Actress
郑伊健EkinCheng 自己self
梁家辉TonyLeung 自己self
周励淇NikiChow 演员Actress
薛凯琪FionaSit 自己self
曾国祥DerekTsang 演员Actor(饰乐仔)
苏志威EdmondSo 演员Actor
陈嘉上GordonChan 自己self
陈果FruitChan 演员Actor
许鞍华AnnHui 演员Actress
蔡一杰RemusChoi 演员Actor
蔡一智CalvinChoi 演员Actor
陈健乐Kin-LokChan 演员Actor(饰士多老板娘儿子)
梁珊ShanLeung 演员Actress
崔允信VincentChui 演员Actor
杜廷豪DerekTo 演员Actor(饰Andy)
江汉HanJiang 演员Actor/Actress
张耀辉Yiu-FaiCheung 演员Actor(饰场记)
王肇强Shiu-KeungWong 演员Actor(饰嫖客演员)
王延明JohnnyWang 演员Actor(饰制片)
木星SingMuk 演员Actor(饰攝影師)
贾仕峰AnthonyCarpio 演员Actor
刘丹TanLau 演员Actor
谷祖琳JolaneKoo 演员Actress
谷峰FengKu 演员Actor
黎耀祥WayneLai 演员Actor
方平HenryFong 演员Actor
陆剑明JamieLuk 演员Actor
董玮WaiTung 演员Actor(饰动作指导)
余安安On-onYu 演员Actress
阮世生JamesYuen 编剧Writer
方晴Ching'Jessica'Fong 编剧Writer
罗耀辉YiuFaiLo 编剧Writer
方平HenryFong 
于冬DongYu 
蔡崇晖JohnnyChoi 
林安儿AngieLam 
麦国强KennethMak 
文念中LimChungMan 
董玮WaiTung 动作指导ActionChoreography"
满城尽带黄金甲,https://movie.douban.com/subject/1499008/,张艺谋,张艺谋/吴楠/卞智弘,5.9, 剧情 / 动作 / 爱情 / 古装,中国大陆/中国香港,2007,周润发/巩俐/周杰伦/刘烨/陈瑾/倪大红/李曼/秦俊杰/郭常辉/李鸣/马天宇/张天爱,2006-12-14(中国大陆)/2006-12-21(中国香港),114,汉语普通话,264184,王（周润发饰）领兵造反，夺得了王位。他为了更加巩固自己的地位，赶走了前妻，迎娶了梁国的公主、现任王后（巩俐饰），以得到梁王的支持。王子元祥（刘烨饰）是前妻留下的孩子，王跟现任王后也生下了元杰（周杰伦饰）、元成（秦俊杰饰）。王后却与元祥有着不可告人的乱伦关系，王一直念念不忘自己的前妻，对外声称前妻已死。王后一直野心勃勃，元杰得知父亲逼着母亲吃毒药，就答应了母亲在重阳节的那天发起兵变，腥风血雨的战争也开始了……,,"张艺谋YimouZhang 导演Director
周润发Yun-FatChow 演员Actor(饰大王)
巩俐LiGong 演员Actress(饰王后)
周杰伦JayChou 演员Actor(饰二王子元杰)
刘烨YeLiu 演员Actor(饰大王子元祥)
陈瑾JinChen 演员Actress(饰蒋氏)
倪大红DahongNi 演员Actor(饰蒋太医)
李曼ManLi 演员Actress(饰蒋婵)
秦俊杰JunjieQin 演员Actor(饰元成)
郭常辉ChanghuiGuo 演员Actor(饰李将军)
李鸣MingLi 演员Actor(饰报时太监)
马天宇RayMa 演员Actor(饰小药童)
张天爱Tian'aiZhang 演员Actress(饰宫女)
封柏BaiFeng 演员Actor(饰报信士兵)
赵梦恬MengtianZhao 演员Actress
张伸ShenZhang 配音Voice
于卓ZhuoYu 演员Actress
杜莹DuYing 演员Actress(饰宫女)
张艺谋YimouZhang 编剧Writer
吴楠NanWu 编剧Writer
卞智弘ZhihongBian 编剧Writer
曹禺YuCao 原著作者Basedon
张艺谋YimouZhang 
江志强WilliamKong 制片人Producer
张伟平WeipingZhang 制片人Producer
张震燕ZhenyanZhang 制片主任AssociateProducer
梅林茂ShigeruUmebayashi 原创音乐OriginalMusic
赵小丁XiaodingZhao 摄影指导DirectorofPhotography
温德光De-GuangWen 摄影Cinematographer
白小妍XiaoyanBai 剧照摄影StillPhotographer
林辉泰RaymondLam 第二组摄影/史泰尼康摄影BUnit/SteadicamOperator
程珑LongCheng 剪辑Editor
霍廷霄TingxiaoHuo 美术ProductionDesigner
杨占家ZhanjiaYang 美术设计ArtDirector
赵斌BinZhao 执行美术SupervisingArtDirector
王建国JianguoWang 美术助理
董承光ChengguangDong 副美术ArtDirector
魏新华XinhuaWei 副美术ArtDirector
孙红武HongwuSun 副美术ArtDirector
宗瑉玄MinxuanZong 副美术ArtDirector
奚仲文Chung-ManHai 服装设计CostumeDesigner
戴美玲JessieDai 服装设计CostumeDesigner
仇小梅Siu-MuiChau 发型设计HairArtist
文润铃Yun-LingMan 化妆设计MakeupDesigner
谭英群PopeyeYingKwanTam 发型设计HairArtist
臧溪川XichuanZang 副导演AssistantDirector
刘国楠GuonanLiu 第1副导演1stAssistantDirector
付璐璐LuluFu 副导演AssistantDirector
梁郁YuLiang 副导演AssistantDirector
傅闱玮WeiweiFu 选角导演
陶经JingTao 录音SoundSupervisor
涂灏HaoTu 拟音师FoleyArtist
钟智行FrankieChung 
约翰·莱昂蒂JohnLeonti 
马丁·德雷克MartynDrake 
斯图尔特·布伦StuartBullen 
马特·福斯特MattFoster 
克里斯汀·王ChristineWong 
梁伟杰WaiKitLeung 
克里斯·威尔逊ChrisWilson 
加里·马歇尔GaryMarshall 
苏珊·詹杜SuzanneJandu 
洪毓良FrancoYukLeungHung 
史焯华SimonCheukWahSze 
安吉拉·巴松AngelaBarson 
约翰·霍伊·史密斯JohnVanHoeySmith 
丹·阿什顿DanAshton 
梁耀丰YiuFungLeung 
亨里克·霍姆伯格HenrikHolmberg 
程小东Siu-TungChing 动作导演ActionDirector
李才CaiLi 动作指导MartialArtsSupervisor
徐鸥OuXu "
夜宴,https://movie.douban.com/subject/1418605/,冯小刚,邱刚健/盛和煜,6, 剧情 / 动作 / 武侠 / 古装,中国大陆/中国香港,2007,章子怡/葛优/吴彦祖/周迅/马精武/黄晓明/周中和/曾秋生/徐熙颜/刘燕斌/马仑/项斌/郑春雨,2006-08-30(中国大陆)/2006-09-03(威尼斯电影节),131,汉语普通话,185245,五代十国，纷纷扰扰，争斗不休。/　　先帝离奇驾崩，厉帝（葛优饰）篡位，把先帝美丽的皇后（章子怡饰）占为己有。皇后为求自保，惟有奉承于厉帝膝下。然而，她的心中有着更大的，不为人知的野心。/　　太子（吴彦祖饰）是先帝的儿子，亡父之痛让他决心放弃艺术家的生活，开始了复仇之路。然而，犹豫不决的天性让他在复仇路上走得伤痕累累，作为后母的皇后更是让他充满了感情的纠缠。/　　青女（周迅饰）已被许为太子的妻子，她对太子痴心不二，最后却断送了青春年华。青女哥哥（黄晓明饰）年轻气盛，与妹妹感情甚笃，深深陷入了这场斗争。/　　这天，厉帝开设夜宴，众人出席，暗涌翻滚，杀机四伏。,第63届威尼斯电影节(2006) 未来电影数字奖-特别提及 冯小刚,"冯小刚XiaogangFeng 导演Director
章子怡ZiyiZhang 演员Actress(饰婉后)
葛优YouGe 演员Actor(饰厉帝)
吴彦祖DanielWu 演员Actor(饰无鸾)
周迅XunZhou 演员Actress(饰青女)
马精武JingwuMa 演员Actor(饰殷太常)
黄晓明XiaomingHuang 演员Actor(饰殷隼)
周中和ZhongheZhou 演员Actor(饰内侍监)
曾秋生QiushengZeng 演员Actor(饰裴洪)
徐熙颜XiyanXu 演员Actress(饰凌儿)
刘燕斌YanbinLiu 演员Actor(饰信使)
马仑LunMa 演员Actor
项斌BinXiang 演员Actor(饰羽林卫使)
郑春雨ChunyuZheng 演员Actor
彭博BoPeng 演员Actor(饰羽林卫史)
戴明MingDai 演员Actor
邵小珊XiaoshanShao 演员Actress(饰婉后（替身）)
王在和Zai-heWang 演员Actor
董张慧ZhanghuiDong 演员Actress
王飞FeiWang 演员Actor/Actress(饰羽林卫)
邱刚健KangChienChiu 编剧Writer
盛和煜HeyuSheng 编剧Writer
威廉·莎士比亚WilliamShakespeare 原著作者Basedon
袁和平Woo-pingYuen 监制ExecutiveProducer
王中磊ZhongleiWang 总制片ChiefProducer
庄澄JohnChong 出品人Presenter
王中军ZhongjunWang 出品人Presenter
邱刚健KangChienChiu 策划AssociateProducer
何丽嫦LorraineHo 策划AssociateProducer
胡晓峰XiaofengHu 制片人Producer
刘艳娥ShirleyLau 制片人Producer
谭盾TanDun 作曲Composer
张靓颖JaneZhang 片尾曲演唱
张黎LiZhang 摄影指导DirectorofPhotography
刘淼淼MiaomiaoLiu 剪辑指导EditingDirector
叶锦添TimmyYip 美术指导ArtDirector
王媛媛YuanyuanWang 
星汉 美术设计ArtDirector
叶锦添TimmyYip 服装设计CostumeDesigner
关莉娜Lee-naKwan 
仇小梅Siu-MuiChau 
张希爵XijueZhang 
郑春雨ChunyuZheng 副导演AssistantDirector
王丹戎DanrongWang 录音指导SoundSupervisor
赵楠NanZhao 音效指导SoundDirector
赵颖YingZhao 混音SoundMixing
约翰·莱昂蒂JohnLeonti 
费尔·琼斯PhilJones 特效指导VisualEffectsSupervisor
肖恩·斯特兰克斯SeanStranks 
杰西卡·诺曼JessicaNorman 
斯图尔特·拉什利StuartLashley 
克劳德·洛松ClaudeLauzon 
斯图尔特·布伦StuartBullen 
塞巴斯蒂安·韦耶SebastienVeilleux 
马克·特拉斯科MarkTureski 
晏·拉利伯特YannLaliberte 
马特·福斯特MattFoster 
埃里克·诺德比ErikNordby 
蒋燕鸣YanmingJiang 特效总监VFXSupervisor
袁和平Woo-pingYuen 
谷轩昭Huan-ChiuKu 武打设计MartialArtsDirector
凌志华ChiWahLing 动作指导ActionChoreography
鞠坤KunJu 武师Stunts"
伤城,https://movie.douban.com/subject/1867408/,刘伟强/麦兆辉,庄文强/麦兆辉,6.8, 剧情 / 惊悚 / 犯罪,中国大陆/中国香港,2007,梁朝伟/金城武/徐静蕾/舒淇/杜汶泽/岳华/尹扬明/黄伊汶/黎耀祥/张锦程,2006-12-21(中国香港),110,粤语,98586,总督察刘正熙（梁朝伟饰）与妻子金淑珍（徐静蕾饰）过着甜蜜生活。与刘正熙本是同事兼好友的丘建邦（金城武饰），被革去警察职务后当起了私家侦探，终日喝酒至烂醉如泥，因多年前女友自杀身亡令他久久不能忘怀，与卖酒女细凤（舒淇饰）的关系扑朔迷离。金淑珍的父亲，富豪金元胜突然被杀害，矛头直指两个无业游民，可是嫌疑人也在案发的一个星期后被杀害，警方也迅速结案。/　　但金淑珍觉得案中疑点重重，就拜托丘建邦帮忙。随着案件的逐步抽丝剥茧，发现了意想不到的秘密，以及故意纵火企图杀死金淑珍的元凶。/　　一个伤心的城市，到底隐藏了多少秘密在其中呢？,,"刘伟强AndrewLau 导演Director
麦兆辉AlanMak 导演Director
梁朝伟TonyLeungChiuWai 演员Actor(饰刘正熙)
金城武TakeshiKaneshiro 演员Actor
徐静蕾JingleiXu 演员Actress
舒淇QiShu 演员Actress
岳华HuaYueh 演员Actor
尹扬明YeungMingWan 演员Actor
黄伊汶EmmeWong 演员Actress
黎耀祥WayneLai 演员Actor
张锦程EmotionCheung 演员Actor
谭俊彦ShaunTam 演员Actor
孙慧莲WaiLinSun 演员Actress(饰陈永富母)
陈思慧CandiceChan 演员Actress(饰啤酒妹)
何国男JordanHo 演员Actor/Actress(饰周家律师)
周念勤Lim-KangChow 演员Actor/Actress(饰玫瑰小学校长)
苏伟南Wai-NamSo 演员Actor(饰保镖)
刘家荣ChiaYungLiu 演员Actor
罗耀辉YiuFaiLo 演员Actor
李达超TatChiuLee 演员Actor
梁靖琪TobyLeung 演员Actress
贝安琪AnkieBeilke 演员Actress
江美仪ElenaKong 演员Actress
雨侨YuKiuAva 演员Actress
董敏莉MonieTung 演员Actress
吴浣仪YuenYeeNg 演员Actress
袁富华Fu-wahYuen 演员Actor(饰黃明)
侯焕玲WoonLingHau 演员Actress(饰村屋包租婆)
庄文强FelixChong 编剧Writer
麦兆辉AlanMak 编剧Writer
梁朝伟TonyLeungChiuWai 编剧Writer
庄澄JohnChong 
林炳坤BingkunLin 策划AssociateProducer
于冬DongYu 
刘伟强AndrewLau 
宋岱DaiSong 出品人Presenter
陈光荣KwongWingChan 
滨崎步AyumiHamasaki 原创音乐OriginalMusic
刘伟强AndrewLau 
黎耀辉Yiu-FaiLai 
何宝荣PoWingHo 跟机DollyGrip
钟炜钊WaiChiuChung 
文念中LimChungMan 美术设计ArtDirector
郭妍慧KwokInWaiVann 服装设计CostumeDesigner
郭惠玲TracyKok 
黄斌RonaldWong 
曾景祥KinsonTsang "
